step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
227,2.58699,0.43575,,
228,2.1876,0.47807,,
229,2.56711,0.44754,,
230,2.28472,0.46854,,
231,3.28782,0.37158,,
232,2.18259,0.47583,,
233,2.43762,0.44803,,
234,2.19611,0.49353,,
235,2.35955,0.47056,,
236,2.66716,0.4282,,
237,2.39422,0.46491,,
238,2.41708,0.44976,,
239,2.21336,0.49368,,
240,2.29102,0.46431,,
241,2.25229,0.46946,,
242,2.55119,0.40302,,
243,2.34629,0.45847,,
244,2.54414,0.43007,,
245,2.61242,0.42275,,
246,2.4788,0.43543,,
247,2.59895,0.45066,,
248,2.48768,0.43154,,
249,2.61266,0.42744,,
250,2.49998,0.44433,,
251,2.13089,0.52918,,
252,2.39179,0.45467,,
253,2.34403,0.45672,,
254,2.51167,0.4528,,
255,1.98082,0.53491,,
256,2.29016,0.48171,,
257,2.48939,0.45979,,
258,2.17968,0.49217,,
259,2.37179,0.43684,,
260,2.47441,0.43895,,
261,2.3541,0.46587,,
262,2.20441,0.48847,,
263,2.29496,0.46341,,
264,2.20568,0.47704,,
265,2.02925,0.50914,,
266,2.03983,0.50866,,
267,2.54814,0.44383,,
268,2.17514,0.49594,,
269,2.23531,0.47761,,
270,2.37772,0.45225,,
271,2.32659,0.47604,,
272,2.30009,0.48049,,
273,2.10363,0.49426,,
274,2.52295,0.43262,,
275,2.38749,0.44334,,
276,2.39631,0.44367,,
277,1.90094,0.51227,,
278,2.51032,0.44591,,
279,2.2553,0.46955,,
280,2.58476,0.43145,,
281,2.31913,0.45602,,
282,2.35453,0.46194,,
283,2.17626,0.49089,,
284,2.36383,0.47457,,
285,2.3718,0.46782,,
286,2.40193,0.44608,,
287,2.5181,0.4375,,
288,2.01884,0.50471,,
289,2.31085,0.47029,,
290,2.7494,0.42359,,
291,2.17609,0.48823,,
292,2.3056,0.48791,,
293,2.20351,0.46537,,
294,1.93653,0.51253,,
295,2.13809,0.47097,,
296,2.52722,0.43228,,
297,2.2566,0.47837,,
298,2.28223,0.48268,,
299,1.99101,0.52174,,
300,2.35244,0.46341,,
301,2.36933,0.45469,,
302,2.55639,0.43769,,
303,2.25332,0.43421,,
304,2.36841,0.47105,,
305,2.34488,0.43941,,
306,2.22042,0.46565,,
307,2.22227,0.4964,,
308,2.42375,0.44211,,
309,2.27757,0.46784,,
310,2.19704,0.49138,,
311,2.20445,0.48031,,
312,2.26475,0.43333,,
313,2.29106,0.47215,,
314,2.29852,0.46934,,
315,2.08869,0.50328,,
316,2.41988,0.48008,,
317,2.18538,0.47222,,
318,2.21774,0.46832,,
319,2.5719,0.39962,,
320,2.1273,0.49906,,
321,2.30045,0.45982,,
322,2.12532,0.47528,,
323,2.20003,0.47788,,
324,2.17114,0.48889,,
325,2.21845,0.49731,,
326,2.10683,0.49177,,
327,2.53649,0.40147,,
328,2.42832,0.44545,,
329,2.07132,0.49778,,
330,2.27638,0.45951,,
331,2.43262,0.44364,,
332,2.24457,0.46725,,
333,2.26677,0.47143,,
334,2.34957,0.4425,,
335,2.58382,0.43443,,
336,1.88781,0.5307,,
337,2.09552,0.48282,,
338,2.10709,0.48882,,
339,2.09158,0.51125,,
340,2.413,0.43817,,
341,2.05234,0.53217,,
342,2.08232,0.49924,,
343,2.42061,0.45218,,
344,2.24731,0.46203,,
345,2.03312,0.50797,,
346,2.10659,0.46827,,
347,2.54813,0.44307,,
348,2.7983,0.39792,,
349,2.45695,0.44373,,
350,2.27746,0.4602,,
351,2.4376,0.44815,,
352,2.14849,0.50619,,
353,2.13682,0.48482,,
354,2.26929,0.47091,,
355,2.10991,0.4928,,
356,2.46388,0.45196,,
357,2.16769,0.48805,,
358,2.16956,0.48819,,
359,2.10021,0.48096,,
360,2.18181,0.47594,,
361,2.16143,0.48313,,
362,2.22808,0.46797,,
363,2.1461,0.50048,,
364,2.1364,0.50311,,
365,2.50946,0.44151,,
366,2.4611,0.42614,,
367,2.03952,0.53513,,
368,2.49317,0.47431,,
369,2.44383,0.4236,,
370,2.15813,0.46926,,
371,2.43655,0.42727,,
372,2.37981,0.46531,,
373,2.16775,0.47773,,
374,2.06604,0.48534,,
375,2.27525,0.47931,,
376,2.12257,0.50367,,
377,2.12682,0.49861,,
378,2.39125,0.42627,,
379,2.42356,0.44006,,
380,2.20252,0.47502,,
381,1.9247,0.52309,,
382,2.37603,0.44175,,
383,2.35232,0.46131,,
384,1.83955,0.53408,,
385,2.36325,0.43117,,
386,2.06153,0.51996,,
387,2.33694,0.47217,,
388,2.11284,0.48492,,
389,1.86038,0.53739,,
390,2.76048,0.40732,,
391,2.33848,0.46085,,
392,2.39207,0.4527,,
393,2.21304,0.48569,,
394,2.61972,0.41696,,
395,2.4895,0.44614,,
396,2.19583,0.46867,,
397,2.41204,0.46211,,
398,2.16535,0.48439,,
399,2.26576,0.45935,,
400,2.15104,0.49492,,
401,2.31985,0.4656,,
402,2.54141,0.43383,,
403,2.21751,0.49328,,
404,2.52816,0.4375,,
405,2.11546,0.48556,,
406,2.17648,0.46589,,
407,2.2281,0.48575,,
