step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
230,0.00938,1.0,,
231,0.21987,0.91429,,
232,0.05088,0.98913,,
233,0.10926,0.97778,,
234,0.00859,1.0,,
235,0.00478,1.0,,
236,0.01627,1.0,,
237,0.05778,0.98182,,
238,0.0462,0.98667,,
239,0.05373,0.97333,,
240,0.05271,0.97333,,
241,1.00276,0.625,,
242,0.01305,1.0,,
243,0.29832,0.86957,,
244,0.38847,0.87826,,
245,0.03268,0.98148,,
246,0.8534,0.71429,,
247,0.20358,0.97872,,
248,0.31491,0.97368,,
249,0.02576,1.0,,
250,0.16893,0.96875,,
251,0.00342,1.0,,
252,0.0363,0.97368,,
253,0.00078,1.0,,
254,0.42509,0.89474,,
255,0.04476,0.98113,,
256,0.83074,0.78788,,
257,0.00191,1.0,,
258,0.43985,0.85906,,
259,0.04934,1.0,,
260,0.20305,0.95833,,
261,0.17232,0.96875,,
262,1.23323,0.75,,
263,0.06077,0.98387,,
264,0.00439,1.0,,
265,0.00072,1.0,,
266,0.48557,0.90698,,
267,0.17751,1.0,,
268,0.07723,0.97727,,
269,0.0331,0.99057,,
270,0.37903,0.93023,,
271,0.06565,0.97297,,
272,0.0821,0.97368,,
273,0.06625,0.99291,,
274,0.08941,0.97436,,
275,0.04346,0.98182,,
276,0.00086,1.0,,
277,0.07845,1.0,,
278,0.85608,0.75,,
279,0.02475,1.0,,
280,0.02921,0.97297,,
281,0.04987,0.98667,,
282,9e-05,1.0,,
283,1.08331,0.8,,
284,1.49885,0.66667,,
285,0.17665,0.95506,,
286,0.01479,1.0,,
287,0.11793,0.97753,,
288,0.2298,0.97778,,
289,0.12643,0.97368,,
290,6e-05,1.0,,
291,0.32802,0.94118,,
292,2.91529,0.33333,,
293,0.0679,1.0,,
294,0.11966,0.975,,
295,0.33059,0.96364,,
296,0.03874,0.98913,,
297,0.13916,0.97391,,
298,0.01623,1.0,,
299,0.16555,0.98182,,
300,0.15787,0.97315,,
301,0.00463,1.0,,
302,0.13979,0.97727,,
303,0.00191,1.0,,
304,0.53783,0.66667,,
305,0.00093,1.0,,
306,0.18549,0.95455,,
